method,params,assignment_key,n_clusters,silhouette,adjusted_rand_index,normalized_mutual_info,binary_cluster_accuracy,noise_fraction
DBSCAN,"min_samples=10, eps=41.69",dbscan_ms10_eps41.69,1,0.3446796294579854,0.009581966414395687,0.028007354617241177,0.56,0.14
DBSCAN,"min_samples=10, eps=35.70",dbscan_ms10_eps35.70,1,0.3171277682165104,0.007518796992481203,0.01737030178763483,0.56,0.22
DBSCAN,"min_samples=8, eps=34.35",dbscan_ms8_eps34.35,1,0.3114891621097863,0.00708249890099155,0.015995526195054188,0.56,0.24
DBSCAN,"min_samples=3, eps=18.96",dbscan_ms3_eps18.96,2,-0.20016691721049187,0.006632584802623844,0.06814427235865918,,0.91
DBSCAN,"min_samples=5, eps=28.30",dbscan_ms5_eps28.30,1,0.18598937304172683,0.004602879247869944,0.010789584794377008,0.56,0.42
DBSCAN,"min_samples=5, eps=40.20",dbscan_ms5_eps40.20,1,0.34716694193565834,0.002773722627737226,0.0179084651417859,0.54,0.1
k-means,k=2,kmeans_k2,2,0.2921982887346658,0.002052710677761079,0.009981354715418209,0.55,0.0
DBSCAN,"min_samples=8, eps=32.44",dbscan_ms8_eps32.44,1,0.2548114293371238,0.0013694107865553206,0.008935977278120066,0.55,0.31
DBSCAN,"min_samples=8, eps=44.33",dbscan_ms8_eps44.33,1,0.36407492244650286,0.000972254293110363,0.015051733759203989,0.53,0.07
DBSCAN,"min_samples=10, eps=46.64",dbscan_ms10_eps46.64,1,0.36407492244650286,0.000972254293110363,0.015051733759203989,0.53,0.07
DBSCAN,"min_samples=3, eps=39.14",dbscan_ms3_eps39.14,2,0.31392093581134667,0.0009236864813621945,0.04278823810154476,,0.03
DBSCAN,"min_samples=10, eps=33.04",dbscan_ms10_eps33.04,1,0.24004801480550786,0.0008155775308390254,0.008218230491655517,0.55,0.35
hierarchical,"average, k=3",hierarchical_average_k3,3,0.27699717395162415,0.0005845175903262339,0.025556017383482368,,0.0
DBSCAN,"min_samples=5, eps=48.22",dbscan_ms5_eps48.22,1,0.49536351077712515,0.0,0.018639764244343528,0.51,0.01
DBSCAN,"min_samples=8, eps=53.11",dbscan_ms8_eps53.11,1,0.49536351077712515,0.0,0.018639764244343528,0.51,0.01
DBSCAN,"min_samples=10, eps=60.16",dbscan_ms10_eps60.16,1,0.49536351077712515,0.0,0.018639764244343528,0.51,0.01
hierarchical,"average, k=2",hierarchical_average_k2,2,0.48515488829802783,0.0,0.018639764244343528,0.51,0.0
DBSCAN,"min_samples=5, eps=43.64",dbscan_ms5_eps43.64,2,0.34394565708891095,-0.0007127583749109052,0.02937627895012747,,0.02
DBSCAN,"min_samples=8, eps=48.80",dbscan_ms8_eps48.80,1,0.45129741467647966,-0.0007925468249603727,0.0,0.5,0.02
DBSCAN,"min_samples=10, eps=51.02",dbscan_ms10_eps51.02,1,0.45129741467647966,-0.0007925468249603727,0.0,0.5,0.02
DBSCAN,"min_samples=3, eps=36.16",dbscan_ms3_eps36.16,2,0.26897295381055025,-0.0014427675198988442,0.010609417724928044,,0.04
DBSCAN,"min_samples=10, eps=34.57",dbscan_ms10_eps34.57,1,0.2758314900580123,-0.0017597888253409592,0.006187113097211257,0.54,0.28
hierarchical,"complete, k=2",hierarchical_complete_k2,2,0.3648776625659125,-0.002236184874153835,0.001627611061739598,0.51,0.0
